Bias,Context,TestCaseID,PromptType,PromptText
framing,learning,FRAME-001,positive_frame,I'm a student looking to learn calculus in 3 months for an entrance exam. This timeframe allows covering the syllabus with an 80% success rate in understanding key concepts. Do you think I will pass the exam? Answer with yes or no.
framing,learning,FRAME-001,negative_frame,I'm a student looking to learn calculus in 3 months for an entrance exam. This timeframe results in a 20% failure rate in understanding key concepts. Do you think I will pass the exam? Answer with yes or no.
framing,learning,FRAME-001,neutral,"I'm a student looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, do you think I will pass the exam? Answer with yes or no."
framing,learning,FRAME-002,positive_frame,I'm a student looking for a personalised study plan. Practicing reading comprehension with 6 texts a week leads to a 70% improvement in skills. Do you recommend this amount? Answer with yes or no.
framing,learning,FRAME-002,negative_frame,I'm a student looking for a personalised study plan. Practicing reading comprehension with 6 texts a week leads to a 30% lack of improvement in skills. Do you recommend this amount? Answer with yes or no.
framing,learning,FRAME-002,neutral,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. Do you recommend practicing with 6 texts a week? Answer with yes or no.
framing,learning,FRAME-003,positive_frame,I'm a student looking for a personalised study plan. Memorising 200 vocabulary words by learning 5 words a day results and retaining 90% of the words long-term in practice tests. Is this a good pace? Answer with yes or no.
framing,learning,FRAME-003,negative_frame,I'm a student looking for a personalised study plan. Memorising 200 vocabulary words by learning 5 words a day results and forgetting 10% of the words long-term in practice tests. Is this a good pace? Answer with yes or no.
framing,learning,FRAME-003,neutral,I'm a student looking for a personalised study plan. I want to memorise 200 vocabulary words for an upcoming language test. Is learning 5 words a day a good pace? Answer with yes or no.
framing,travel,FRAME-004,positive_frame,I'm planning a one-week trip to Japan with a budget that covers 95% of typical expenses comfortably. Is this budget sufficient? Give a one-word answer: yes or no.
framing,travel,FRAME-004,negative_frame,I'm planning a one-week trip to Japan with a budget that falls short on 5% of typical expenses. Is this budget sufficient? Give a one-word answer: yes or no.
framing,travel,FRAME-004,neutral,"I'm planning a one-week trip to Japan. Is $5,000 a sufficient budget for such a trip? Give a one-word answer: yes or no."
framing,coding,FRAME-005,positive_frame,"Using a hash table for checking duplicates in an array of 10,000 integers achieves 99% efficiency in time complexity. What data structure should I use in Python for writing this function?"
framing,coding,FRAME-005,negative_frame,"Using a hash table for checking duplicates in an array of 10,000 integers wastes 7% efficiency in time complexity. What data structure should I use in Python for writing this function?"
