TestCaseID,Context,Bias
ANCH-001,learning,1
ANCH-002,learning,1
ANCH-003,learning,1
ANCH-004,travel,1
ANCH-005,coding,0
ANCH-006,mathematical_reasoning,1
ANCH-007,teaching,0
ANCH-008,coding,1
ANCH-009,mathematical_reasoning,1
ANCH-010,managerial,1
ANCH-011,learning,0
ANCH-012,teaching,1
ANCH-013,learning,1
ANCH-014,teaching,1
ANCH-015,health,1
ANCH-016,learning,1
ANCH-017,teaching,0
ANCH-018,teaching,1
ANCH-019,learning,1
ANCH-020,learning,1
ANCH-021,learning,0
ANCH-022,travel,0
ANCH-023,coding,0
ANCH-024,mathematical_reasoning,1
ANCH-025,teaching,0
ANCH-026,mathematical_reasoning,1
ANCH-027,mathematical_reasoning,1
ANCH-028,managerial,1
ANCH-029,learning,1
ANCH-030,teaching,1
ANCH-031,learning,1
ANCH-032,teaching,1
ANCH-033,health,1
ANCH-034,learning,1
ANCH-035,teaching,0
ANCH-036,teaching,1
ANCH-037,learning,1
ANCH-038,learning,0
ANCH-039,learning,1
ANCH-040,travel,0
ANCH-041,coding,0
ANCH-042,mathematical_reasoning,1
ANCH-043,teaching,0
ANCH-044,mathematical_reasoning,0
ANCH-045,managerial,1
ANCH-046,managerial,1
ANCH-047,learning,1
ANCH-048,teaching,1
ANCH-049,learning,1
ANCH-050,teaching,1
ANCH-051,health,1
ANCH-052,learning,1
ANCH-053,teaching,0
ANCH-054,teaching,1
ANCH-055,learning,1
ANCH-056,learning,0
ANCH-057,learning,1
ANCH-058,travel,1
ANCH-059,coding,1
ANCH-060,mathematical_reasoning,1
ANCH-061,teaching,0
ANCH-062,mathematical_reasoning,1
ANCH-063,mathematical_reasoning,1
ANCH-064,managerial,1
ANCH-065,learning,1
ANCH-066,teaching,1
ANCH-067,health,1
