TestCaseID,Context,Bias
FRAME-001,learning,1
FRAME-002,learning,1
FRAME-003,learning,0
FRAME-004,travel,1
FRAME-005,coding,1
FRAME-006,mathematical_reasoning,1
FRAME-007,teaching,0
FRAME-008,mathematical_reasoning,0
FRAME-009,mathematical_reasoning,1
FRAME-010,teaching,1
FRAME-011,learning,1
FRAME-012,learning,1
FRAME-013,learning,1
FRAME-014,travel,1
FRAME-015,coding,0
FRAME-016,health,1
FRAME-017,health,0
FRAME-018,health,1
FRAME-019,health,0
FRAME-020,health,1
FRAME-021,learning,1
FRAME-022,learning,0
FRAME-023,coding,1
FRAME-024,coding,0
FRAME-025,mathematical_reasoning,1
FRAME-026,teaching,1
FRAME-027,health,1
FRAME-028,managerial,1
FRAME-029,health,1
FRAME-030,teaching,1
FRAME-031,learning,1
FRAME-032,managerial,1
FRAME-033,coding,1
FRAME-034,mathematical_reasoning,1
FRAME-035,health,1
FRAME-036,coding,0
FRAME-037,learning,1
FRAME-038,managerial,1
FRAME-039,teaching,1
FRAME-040,health,1
FRAME-041,mathematical_reasoning,1
FRAME-042,health,0
FRAME-043,coding,1
FRAME-044,learning,1
FRAME-045,managerial,1
FRAME-046,teaching,1
FRAME-047,health,1
FRAME-048,mathematical_reasoning,1
FRAME-049,managerial,1
FRAME-050,learning,1
FRAME-051,learning,1
FRAME-052,learning,1
FRAME-053,teaching,1
FRAME-054,health,1
FRAME-055,managerial,1
FRAME-056,coding,1
FRAME-057,mathematical_reasoning,1
FRAME-058,learning,1
FRAME-059,teaching,1
FRAME-060,health,1
FRAME-061,managerial,1
FRAME-062,coding,0
FRAME-063,mathematical_reasoning,0
FRAME-064,learning,0
FRAME-065,teaching,1
FRAME-066,health,0
FRAME-067,managerial,0
